,emocao,tempo,size
214,Desatento,438.0,3
215,Desatento,440.0,2
216,Desatento,442.0,2
217,Desatento,444.0,5
218,Desatento,446.0,5
219,Desatento,448.0,3
220,Desatento,450.0,6
221,Desatento,452.0,6
222,Desatento,454.0,7
223,Desatento,456.0,7
224,Desatento,458.0,6
225,Desatento,460.0,5
226,Desatento,462.0,5
227,Desatento,464.0,5
228,Desatento,466.0,5
229,Desatento,468.0,5
230,Desatento,470.0,5
231,Desatento,472.0,5
232,Desatento,474.0,5
233,Desatento,476.0,5
234,Desatento,478.0,6
235,Desatento,480.0,5
236,Desatento,482.0,6
237,Desatento,484.0,6
238,Desatento,486.0,6
239,Desatento,488.0,5
240,Desatento,490.0,5
241,Desatento,492.0,6
242,Desatento,494.0,5
243,Desatento,496.0,5
244,Desatento,498.0,5
245,Desatento,500.0,5
246,Desatento,502.0,5
247,Desatento,504.0,5
248,Desatento,506.0,5
249,Desatento,508.0,5
250,Desatento,510.0,5
251,Desatento,512.0,5
252,Desatento,514.0,5
253,Desatento,516.0,6
254,Desatento,518.0,5
255,Desatento,520.0,5
256,Desatento,522.0,3
257,Desatento,524.0,3
258,Desatento,526.0,3
259,Desatento,528.0,3
260,Desatento,530.0,4
261,Desatento,532.0,3
262,Desatento,534.0,3
263,Desatento,536.0,3
264,Desatento,538.0,3
265,Desatento,540.0,4
266,Desatento,542.0,4
267,Desatento,544.0,4
268,Desatento,548.0,3
269,Desatento,550.0,4
270,Desatento,558.0,5
271,Desatento,560.0,5
272,Desatento,562.0,6
273,Desatento,564.0,6
274,Desatento,566.0,4
275,Desatento,568.0,4
276,Desatento,570.0,5
277,Desatento,572.0,5
278,Desatento,574.0,4
279,Desatento,576.0,4
280,Desatento,578.0,3
281,Desatento,580.0,3
282,Desatento,582.0,3
283,Desatento,584.0,4
284,Desatento,586.0,4
285,Desatento,588.0,4
286,Desatento,590.0,3
287,Desatento,592.0,5
288,Desatento,594.0,4
289,Desatento,596.0,5
290,Desatento,598.0,4
291,Desatento,600.0,3
292,Desatento,602.0,3
293,Desatento,604.0,4
294,Desatento,606.0,4
295,Desatento,608.0,3
296,Desatento,610.0,4
297,Desatento,612.0,4
298,Desatento,614.0,4
299,Desatento,616.0,5
300,Desatento,618.0,5
301,Desatento,620.0,5
302,Desatento,622.0,4
303,Desatento,624.0,4
304,Desatento,626.0,3
305,Desatento,628.0,3
306,Desatento,630.0,3
307,Desatento,632.0,4
308,Desatento,634.0,3
309,Desatento,636.0,3
310,Desatento,638.0,3
311,Desatento,640.0,5
312,Desatento,642.0,5
313,Desatento,644.0,6
314,Desatento,646.0,4
315,Desatento,648.0,5
316,Desatento,650.0,6
